0.278,0.616,0.006,0.00001
0.52,0.74,0.016,0.00001
0.404,0.162,0.002,0.00001
0.106,0.932,0.014,0.00001
0.634,0.008,0.006,0.00001
0.082,0.162,0.002,0.00001
0.136,0.072,0.006,0.00001
0.042,0.746,0.02,0.00001
0.222,0.602,0.01,0.00001
0.174,0.196,0.004,0.00001
0.93,0.492,0.016,0.00001
0.186,0.228,0.018,0.00001
0.496,0.986,0.004,0.00001
0.952,0.384,0.01,0.00001
0.36,0.146,0.018,0.00001
0.182,0.834,0.01,0.00001
0.422,0.534,0.01,0.00001
0.004,0.666,0.006,0.00001
0.592,0.358,0.012,0.00001
0.782,0.56,0.008,0.00001
0.462,0.922,0.018,0.00001
0.88,0.972,0.016,-0.00001
0.016,0.994,0.01,0.00001
0.522,0.09,0.016,0.00001
0.718,0.546,0.016,0.00001
0.688,0.612,0.002,0.00001
0.378,0.406,0.014,0.00001
0.406,0.556,0.014,0.00001
0.418,0.846,0.012,0.00001
0.814,0.316,0.018,0.00001
0.218,0.116,0.002,0.00001
0.156,0.804,0.02,0.00001
0.198,0.78,0.002,0.00001
0.114,0.188,0.02,0.00001
0.55,0.032,0.018,0.00001
0.952,0.484,0.01,0.00001
0.62,0.232,0.016,0.00001
0.982,0.164,0.014,0.00001
0.642,0.638,0.02,0.00001
0.388,0.262,0.01,0.00001
0.116,0.36,0.016,0.00001
0.306,0.732,0.014,0.00001
0.84,0.522,0.008,0.00001
0.62,0.606,0.012,0.00001
0.732,0.378,0.004,0.00001
0.368,0.812,0.018,0.00001
0.348,0.016,0.002,0.00001
0.85,0.94,0.016,0.00001
0.966,0.494,0.012,0.00001
0.654,0.974,0.02,0.00001
0.026,0.576,0.016,0.00001
0.152,0.05,0.012,0.00001
0.04,0.5,0.006,0.00001
0.476,0.656,0.002,0.00001
0.86,0.04,0.014,0.00001
0.508,0.578,0.018,0.00001
0.186,0.202,0.004,0.00001
0.824,0.736,0.018,0.00001
0.16,0.424,0.014,0.00001
0.598,0.296,0.016,0.00001
0.382,0.986,0.006,0.00001
0.78,0.846,0.01,0.00001
0.68,0.798,0.006,0.00001
0.754,0.922,0.02,0.00001
0.884,0.504,0.002,0.00001
0.016,0.096,0.016,0.00001
0.554,0.72,0.006,0.00001
0.014,0.122,0.014,0.00001
0.016,0.942,0.02,0.00001
0.38,0.896,0.012,0.00001
0.836,0.484,0.002,0.00001
0.462,0.32,0.02,0.00001
0.898,0.652,0.006,0.00001
0.236,0.55,0.008,0.00001
0.756,0.394,0.006,0.00001
0.348,0.936,0.008,0.00001
0.484,0.24,0.012,0.00001
0.508,0.5,0.012,0.00001
0.912,0.732,0.018,0.00001
0.806,0.448,0.006,0.00001
0.068,0.286,0.01,0.00001
0.456,0.98,0.02,0.00001
0.598,0.584,0.004,0.00001
0.4,0.944,0.006,0.00001
0.172,0.348,0.014,0.00001
0.436,0.416,0.006,0.00001
0.906,0.684,0.004,0.00001
0.084,0.014,0.02,0.00001
0.368,0.424,0.012,0.00001
0.188,0.024,0.014,0.00001
0.46,0.2,0.004,0.00001
0.694,0.748,0.012,0.00001
0.526,0.408,0.012,0.00001
0.732,0.294,0.016,0.00001
0.076,0.472,0.008,0.00001
0.912,0.43,0.02,0.00001
0.406,0.244,0.018,0.00001
0.494,0.424,0.012,0.00001
0.25,0.258,0.006,0.00001
0.582,0.836,0.018,0.00001
0.644,0.986,0.02,0.00001
0.684,0.786,0.008,0.00001
0.782,0.048,0.008,0.00001
0.358,0.13,0.02,0.00001
0.416,0.408,0.016,0.00001
0.434,0.578,0.014,0.00001
0.034,0.406,0.02,0.00001
0.596,0.934,0.02,0.00001
0.756,0.54,0.018,0.00001
0.012,0.748,0.004,0.00001
0.05,0.186,0.01,0.00001
0.01,0.86,0.01,0.00001
0.206,0.466,0.002,0.00001
0.462,0.352,0.01,0.00001
0.33,0.574,0.02,0.00001
0.718,0.362,0.012,0.00001
0.382,0.374,0.01,0.00001
0.744,0.362,0.014,0.00001
0.854,0.122,0.004,0.00001
0.952,0.978,0.006,0.00001
0.286,0.84,0.018,0.00001
0.37,0.364,0.006,0.00001
0.26,0.996,0.002,0.00001
0.678,0.502,0.004,0.00001
0.462,0.72,0.02,0.00001
0.53,0.936,0.02,0.00001
0.466,0.364,0.002,0.00001
0.556,0.478,0.016,0.00001
0.268,0.136,0.002,0.00001
0.848,0.338,0.014,0.00001
0.106,0.588,0.004,0.00001
0.25,0.416,0.016,0.00001
0.87,0.816,0.006,0.00001
0.348,0.962,0.008,0.00001
0.156,0.746,0.006,0.00001
0.33,0.002,0.012,0.00001
0.446,0.162,0.016,0.00001
0.546,0.256,0.008,0.00001
0.246,0.584,0.002,0.00001
0.604,0.04,0.018,0.00001
0.344,0.114,0.012,0.00001
0.632,0.782,0.016,0.00001
0.792,0.65,0.02,0.00001
0.608,0.738,0.016,0.00001
0.69,0.92,0.02,0.00001
0.33,0.096,0.018,0.00001
0.684,0.174,0.01,0.00001
0.94,0.14,0.014,0.00001
0.196,0.628,0.014,0.00001
0.442,0.66,0.01,0.00001
0.852,0.708,0.01,0.00001
0.994,0.73,0.018,0.00001
0.506,0.05,0.004,0.00001
0.86,0.916,0.014,0.00001
0.464,0.962,0.002,0.00001
0.386,0.018,0.012,0.00001
0.57,0.014,0.012,0.00001
0.362,0.026,0.02,0.00001
0.134,0.552,0.018,0.00001
0.684,0.036,0.01,0.00001
0.44,0.768,0.02,0.00001
0.258,0.886,0.002,0.00001
0.332,0.73,0.01,0.00001
0.548,0.226,0.004,0.00001
0.486,0.876,0.014,0.00001
0.45,0.138,0.004,0.00001
0.984,0.972,0.01,0.00001
0.976,0.042,0.016,0.00001
0.352,0.478,0.004,0.00001
0.356,0.89,0.002,0.00001
0.094,0.206,0.014,0.00001
0.274,0.748,0.008,0.00001
0.766,0.254,0.014,0.00001
0.132,0.944,0.01,0.00001
0.358,0.17,0.01,0.00001
0.454,0.068,0.018,0.00001
0.908,0.784,0.01,0.00001
0.798,0.876,0.014,0.00001
0.072,0.126,0.01,0.00001
0.784,0.59,0.01,0.00001
0.034,0.182,0.02,0.00001
0.592,0.508,0.006,0.00001
0.954,0.364,0.01,0.00001
0.832,0.792,0.01,0.00001
0.626,0.956,0.014,0.00001
0.268,0.724,0.012,0.00001
0.974,0.302,0.01,0.00001
0.284,0.076,0.004,0.00001
0.076,0.998,0.012,0.00001
0.79,0.862,0.018,0.00001
0.938,0.036,0.004,0.00001
0.726,0.874,0.008,0.00001
0.218,0.578,0.002,0.00001
0.044,0.934,0.01,0.00001
0.786,0.244,0.014,0.00001
0.894,0.63,0.02,0.00001
0.996,0.152,0.002,0.00001
0.912,0.148,0.002,0.00001
0.716,0.176,0.004,0.00001
0.48,0.95,0.016,0.00001

#-----atributos------###
x_pos,y_pos,rad,repulsion_parameter
